,mean,sd,min,max,nodata_count
dem.tif,578.9764,74.67898,391.6347,937.77686,0.0
aerialr.tif,81.74307,0.0,0.0,255.0,0.0
aerialg.tif,81.50879,0.0,0.0,255.0,0.0
aerialb.tif,73.719055,0.0,8.0,255.0,0.0
aerialnir.tif,104.619896,0.0,0.0,255.0,0.0
ep_5x5.tif,47.11424,9.886026,0.0,92.10121,0.0
ep_11x11.tif,48.95625,11.436183,0.0,98.36802,0.0
ep_21x21.tif,49.43244,12.996328,0.0,99.55222,0.0
ep_51x51.tif,49.724056,16.463907,0.0,99.92408,0.0
ep_101x101.tif,49.85858,19.645826,0.0,99.980644,0.0
ep_201x201.tif,49.93412,22.01011,0.0,99.99512,0.0
plc.tif,0.070125,1.2483188,-4.9614367,4.5726833,0.0
plc_10.tif,0.037535746,3.6405652,-9.207001,7.2203865,0.0
plc_20.tif,0.049426317,3.5421197,-9.664201,8.254777,0.0
plc_50.tif,0.0732135,3.116388,-8.686825,8.572888,0.0
plc_100.tif,0.19629967,4.6159205,-10.006744,11.070809,0.0
plc_200.tif,0.24960694,4.058726,-9.810954,10.2392025,0.0
prc.tif,0.035665516,0.5439335,-3.2302437,3.2919362,0.0
prc_10.tif,0.103100136,1.6375724,-5.2531676,5.4962745,0.0
prc_20.tif,0.055573937,1.4008559,-4.6159816,4.752704,0.0
prc_50.tif,-0.012792777,0.9755061,-3.4120343,3.350446,0.0
prc_100.tif,-0.13295348,1.9176759,-4.7786117,4.7175756,0.0
prc_200.tif,-0.13772509,1.3190665,-3.586188,3.6705606,0.0
s.tif,5.39258,5.0585527,0.0,65.96488,0.0
s_10.tif,4.738842,4.702928,0.0,61.837803,0.0
s_20.tif,4.354375,4.3266263,0.0,52.323456,0.0
s_50.tif,3.4802837,3.5748134,0.0021165363,37.42135,0.0
s_100.tif,2.651988,2.7833042,0.0064106486,24.405704,0.0
s_200.tif,1.8526987,1.8634207,0.006199241,12.491052,0.0
sds_5x5.tif,1.2443706,1.4710772,0.0,35.805138,0.0
sds_11x11.tif,1.7672851,1.8906224,0.0,34.369987,0.0
sds_21x21.tif,2.222579,2.1232636,0.0,32.383232,0.0
sds_51x51.tif,2.8537855,2.3047693,0.0,27.244932,0.0
sds_101x101.tif,3.3188477,2.3413827,0.035155974,22.16888,0.0
sds_201x201.tif,3.7608004,2.2917652,0.40076992,20.481316,0.0
