channel,mean,sd
aerialb.tif,73.8597739415823,25.366866715701573
aerialg.tif,81.37825723489587,29.228156901911017
aerialnir.tif,115.75198795409118,38.84160104800194
aerialr.tif,78.22503651428202,35.26186660684322
dem.tif,612.5850737313818,91.43046123037108
ep_101x101.tif,49.862843866658075,20.0285176100101
ep_11x11.tif,48.98486722638468,11.414505755148541
ep_201x201.tif,49.93663840434586,22.24281001580333
ep_21x21.tif,49.453908323296154,13.085776469875011
ep_51x51.tif,49.734152907344125,16.82747884848819
ep_5x5.tif,47.14802149738862,9.995642183852185
geology.tif,5.887641292185183,1.870371914071643
nhd.tif,0.007416654876452383,0.08580066911137044
osm.tif,0.00629777335999742,0.07910882222925858
plancurv.tif,-17.58689874418312,4201.307097068264
plancurv_10.tif,-17.63663617991631,4201.308635809469
plancurv_100.tif,-17.441897507981174,4201.309936397754
plancurv_20.tif,-17.61579597295164,4201.308682680593
plancurv_200.tif,-17.407375426476882,4201.30975462222
plancurv_50.tif,-17.569528989803338,4201.308186420935
procurv.tif,-17.617380685751566,4201.307087388314
procurv_10.tif,-17.564872054863752,4201.307548220304
procurv_100.tif,-17.82132752947385,4201.306596834195
procurv_20.tif,-17.61684669205436,4201.307514289841
procurv_200.tif,-17.794451497825133,4201.306179265079
procurv_50.tif,-17.6831274830588,4201.307043717292
slope.tif,5.394211183512799,4.917563149218284
slope_10.tif,4.732892925243408,4.54268863003624
slope_100.tif,2.564190082610097,2.665190458967907
slope_20.tif,4.3199034736153195,4.168456841821723
slope_200.tif,0.907446928099813,108.62640774897059
slope_50.tif,3.4033915060932363,3.439130478438795
stdslope_101x101.tif,3.2430452067573667,2.214060325776715
stdslope_11x11.tif,1.746926565607067,1.829174187750105
stdslope_201x201.tif,3.6517209408343536,2.1624530410542793
stdslope_21x21.tif,2.1956938079244313,2.0422812932665346
stdslope_51x51.tif,2.8051366095621897,2.193591288780563
stdslope_5x5.tif,1.2304689445031918,1.4335949637825687
