Unnamed: 0,mean,sd,min,max,nodata_count
dem.tif,612.5835,91.44046,391.6347,1016.6071,0.0
aerialr.tif,84.04964,38.31324,0.0,255.0,0.0
aerialg.tif,85.69546,32.707924,0.30153963,255.0,0.0
aerialb.tif,78.01759,28.746109,7.5630803,255.0,0.0
aerialnir.tif,116.26745,40.184513,0.0,255.0,0.0
ep_5x5.tif,47.147915,10.005299,0.0,95.49848,0.0
ep_11x11.tif,48.985027,11.417211,0.0,99.06993,0.0
ep_21x21.tif,49.45395,13.086843,0.0,99.74481,0.0
ep_51x51.tif,49.734005,16.827848,0.0,99.95673,0.0
ep_101x101.tif,49.862747,20.028511,0.0,99.98897,0.0
ep_201x201.tif,49.93654,22.24287,0.0,99.997215,0.0
plc.tif,0.06414861,1.2834612,-4.9614367,4.5726833,0.0
plc_10.tif,0.014440778,3.6740992,-9.544323,7.871614,0.0
plc_20.tif,0.036236882,3.5736432,-9.664201,8.254777,0.0
plc_50.tif,0.08224649,3.1371157,-9.4037895,8.572888,0.0
plc_100.tif,0.21015036,4.6244407,-10.261233,11.070809,0.0
plc_200.tif,0.24291489,4.0657988,-10.764938,10.580716,0.0
prc.tif,0.03366149,0.54602224,-3.3956504,3.3707154,0.0
prc_10.tif,0.08505955,1.6478893,-5.4635434,5.4962745,0.0
prc_20.tif,0.032856524,1.4040773,-4.6159816,4.752704,0.0
prc_50.tif,-0.032824393,0.96089077,-3.4406524,3.350446,0.0
prc_100.tif,-0.17061305,1.8811537,-4.7786117,4.7175756,0.0
prc_200.tif,-0.14219612,1.2758734,-3.593531,3.6705606,0.0
s.tif,5.394203,4.917567,0.0,67.804146,0.0
s_10.tif,4.722712,4.5333915,0.0,62.206036,0.0
s_20.tif,4.304304,4.1558275,0.0,54.155807,0.0
s_50.tif,3.380341,3.4208717,4.6859604e-05,37.915768,0.0
s_100.tif,2.541138,2.6414995,0.0064106486,24.493776,0.0
s_200.tif,1.7455575,1.7335861,0.006199241,12.562847,0.0
sds_5x5.tif,1.2304708,1.4336666,0.0,35.805138,0.0
sds_11x11.tif,1.7469339,1.8291786,0.0,34.369987,0.0
sds_21x21.tif,2.1956918,2.0422897,0.0,32.383232,0.0
sds_51x51.tif,2.8051376,2.1935847,0.0,27.244932,0.0
sds_101x101.tif,3.243059,2.2140365,0.0,22.16888,0.0
sds_201x201.tif,3.651719,2.1624506,0.40076992,20.481316,0.0
