path,mean,std
aerialb.tif,73.85352,27.294397
aerialg.tif,81.5891,31.321741
aerialnir.tif,104.56547,34.825314
aerialr.tif,81.79252,37.1
dem.tif,579.6512,73.95407
ep_101x101.tif,49.86394,19.533527
ep_11x11.tif,48.9687,11.372207
ep_201x201.tif,49.94078,21.908968
ep_21x21.tif,49.44333,12.923358
ep_51x51.tif,49.73147,16.375425
ep_5x5.tif,47.128483,9.83114
plancurv.tif,0.07426201,1.2450467
plancurv_10.tif,0.05539756,3.629674
plancurv_100.tif,0.19697443,4.6182175
plancurv_20.tif,0.060592286,3.5369287
plancurv_200.tif,0.23613061,4.0599656
plancurv_50.tif,0.078211196,3.1158779
procurv.tif,0.034683052,0.544743
procurv_10.tif,0.09839317,1.6438099
procurv_100.tif,-0.13772227,1.946713
procurv_20.tif,0.048716538,1.4106413
procurv_200.tif,-0.12642916,1.3425711
procurv_50.tif,-0.017581694,0.9906652
slope.tif,-7245.265,13600.675
slope_10.tif,-7267.936,13615.704
slope_100.tif,-7489.875,13755.683
slope_20.tif,-7290.411,13630.521
slope_200.tif,-7750.06,13913.275
slope_50.tif,-7361.798,13676.047
stdslope_101x101.tif,-7247.001,13601.545
stdslope_11x11.tif,-7248.1094,13600.935
stdslope_201x201.tif,-7246.6445,13601.678
stdslope_21x21.tif,-7247.8037,13601.054
stdslope_51x51.tif,-7247.354,13601.414
stdslope_5x5.tif,-7248.438,13600.786
