,mean,sd,min,max,nodata_count
dem.tif,578.2135,73.66486,391.6347,937.77686,0.0
aerialr.tif,81.07444,0.0,0.0,255.0,0.0
aerialg.tif,80.93236,0.0,0.0,255.0,0.0
aerialb.tif,73.21263,0.0,7.0,255.0,0.0
aerialnir.tif,104.246506,0.0,0.0,255.0,0.0
ep_5x5.tif,47.133865,9.806838,0.0,92.10121,0.0
ep_11x11.tif,48.981308,11.316502,0.0,98.36802,0.0
ep_21x21.tif,49.46031,12.851121,0.0,99.55222,0.0
ep_51x51.tif,49.75056,16.28525,0.0,99.92408,0.0
ep_101x101.tif,49.88261,19.425636,0.0,99.980644,0.0
ep_201x201.tif,49.958252,21.770382,0.0,99.99512,0.0
plc.tif,0.07454368,1.2395099,-4.8209233,4.54106,0.0
plc_10.tif,0.051342968,3.6283,-9.207001,7.1604733,0.0
plc_20.tif,0.054540236,3.5295024,-9.664201,7.822516,0.0
plc_50.tif,0.07005164,3.1048963,-8.686825,8.44508,0.0
plc_100.tif,0.1870052,4.6038585,-9.925041,10.089469,0.0
plc_200.tif,0.21998195,4.056145,-10.764938,10.2392025,0.0
prc.tif,0.034290407,0.5444022,-3.3956504,3.2919362,0.0
prc_10.tif,0.097275466,1.6378896,-5.2531676,5.4962745,0.0
prc_20.tif,0.050310656,1.402985,-4.6159816,4.752704,0.0
prc_50.tif,-0.014604936,0.981595,-3.4406524,3.350446,0.0
prc_100.tif,-0.13437828,1.9369562,-4.7786117,4.6712804,0.0
prc_200.tif,-0.1264475,1.3403289,-3.593531,3.6705606,0.0
s.tif,5.4481764,5.117615,0.0,67.804146,0.0
s_10.tif,4.791738,4.7505703,0.0,62.206036,0.0
s_20.tif,4.407113,4.3633237,0.0,54.155807,0.0
s_50.tif,3.5385466,3.58363,4.6859604e-05,37.915768,0.0
s_100.tif,2.7140398,2.771989,0.008711392,24.493776,0.0
s_200.tif,1.9016775,1.8373109,0.006199241,12.562847,0.0
sds_5x5.tif,1.2562377,1.4824835,0.0,35.805138,0.0
sds_11x11.tif,1.7814709,1.9101738,0.0,34.369987,0.0
sds_21x21.tif,2.238063,2.1506472,0.0,32.383232,0.0
sds_51x51.tif,2.872728,2.3432958,0.0,27.244932,0.0
sds_101x101.tif,3.3480816,2.3819897,0.0,22.16888,0.0
sds_201x201.tif,3.8043036,2.329119,0.4051613,20.481316,0.0
