path,mean,std
aerialb.tif,71.79335,18.268444
aerialg.tif,79.875984,21.086569
aerialnir.tif,152.40648,25.232466
aerialr.tif,65.61069,26.054771
dem.tif,691.0709,29.961645
ep_101x101.tif,49.869564,22.672634
ep_11x11.tif,48.98733,11.882092
ep_201x201.tif,49.90616,23.826506
ep_21x21.tif,49.483055,14.261748
ep_51x51.tif,49.763405,19.3108
ep_5x5.tif,47.090977,10.253725
geology.tif,6.198095,1.805415
logslope.tif,0.47640595,0.3268932
logslope_10.tif,0.39283225,0.34163383
logslope_100.tif,0.011559871,0.28671572
logslope_20.tif,0.33652315,0.32486263
logslope_200.tif,-0.12263488,0.25435948
logslope_50.tif,0.17197919,0.30113584
logstdslope_101x101.tif,0.35685307,0.23595649
logstdslope_11x11.tif,0.05025496,0.31579012
logstdslope_201x201.tif,0.41194344,0.20180003
logstdslope_21x21.tif,0.16360801,0.30498776
logstdslope_51x51.tif,0.2872968,0.26955014
logstdslope_5x5.tif,-0.10041767,0.3106
nhd.tif,0.010394377,0.10142208
osm.tif,0.003793627,0.061475184
plancurv.tif,-0.016649852,1.3875446
plancurv_10.tif,-0.24527869,3.8359184
plancurv_100.tif,0.23864067,4.6476517
plancurv_20.tif,-0.11629517,3.7439926
plancurv_200.tif,0.27170253,4.0427337
plancurv_50.tif,0.07771414,3.2492714
procurv.tif,0.02202358,0.51824915
procurv_10.tif,0.040263236,1.6025091
procurv_100.tif,-0.17764287,1.3864278
procurv_20.tif,0.011727055,1.3100154
procurv_200.tif,-0.13661426,0.7857281
procurv_50.tif,-0.044522792,0.7286928
slope.tif,3.8356512,3.2438703
slope_10.tif,3.185556,2.6431856
slope_100.tif,1.1697485,0.8762419
slope_20.tif,2.7105224,2.1237686
slope_200.tif,0.7895539,0.52716744
slope_50.tif,1.7690628,1.3374282
stdslope_101x101.tif,2.5539966,1.6456059
stdslope_11x11.tif,1.4293201,1.6431072
stdslope_201x201.tif,2.7880933,1.473667
stdslope_21x21.tif,1.8151387,1.7793843
stdslope_51x51.tif,2.2757182,1.7611893
stdslope_5x5.tif,0.990307,1.3087119
